application_id,borrower_id,application_date,approval_date,time_to_decision,application_status,amount_requested,approved_amount,interest_rate,term,ltv_ratio,combined_ltv,loan_purpose,credit_score,annual_income,property_value
HEL-2022-0001,B09045,2022-01-07,2022-01-18,11,Approved,80000,75000,4.75,180,63.5,70.8,Home Improvement,740,92000,315000
HEL-2022-0002,B09089,2022-01-14,2022-01-28,14,Approved,115000,110000,4.35,240,67.2,74.1,Debt Consolidation,775,120000,440000
HEL-2022-0003,B09134,2022-01-20,2022-01-31,11,Approved,42000,42000,5.25,120,44.0,51.2,Education Expenses,705,80000,265000
HEL-2022-0004,B09156,2022-01-25,2022-02-04,10,Approved,60000,58000,4.85,180,54.3,61.0,Medical Expenses,720,76000,300000
HEL-2022-0005,B09187,2022-01-28,,15,Denied,90000,0,0,240,81.0,90.5,Debt Consolidation,615,61000,280000
HEL-2022-0006,B09210,2022-02-05,2022-02-18,13,Approved,145000,135000,4.45,360,71.5,78.9,Home Improvement,760,140000,510000
HEL-2022-0007,B09245,2022-02-10,2022-02-24,14,Approved,48000,48000,4.65,120,41.5,47.2,Home Improvement,730,90000,320000
HEL-2022-0008,B09267,2022-02-15,,16,Denied,170000,0,0,240,87.5,94.8,Debt Consolidation,635,86000,405000
HEL-2022-0009,B09289,2022-02-18,2022-03-03,14,Approved,68000,65000,4.95,180,57.2,64.1,Education Expenses,710,82000,280000
HEL-2022-0010,B09305,2022-02-25,2022-03-10,15,Approved,105000,100000,4.55,240,64.8,71.3,Debt Consolidation,750,102000,425000
HEL-2022-0011,B09356,2022-03-04,2022-03-18,14,Approved,125000,120000,4.25,360,68.5,75.2,Home Improvement,785,128000,465000
HEL-2022-0012,B09378,2022-03-10,2022-03-21,11,Approved,52000,50000,5.05,120,47.5,54.0,Medical Expenses,715,77000,285000
HEL-2022-0013,B09405,2022-03-17,,22,Withdrawn,195000,0,0,360,89.5,96.8,Debt Consolidation,655,92000,470000
HEL-2022-0014,B09432,2022-03-22,2022-04-05,14,Approved,78000,75000,4.70,180,61.2,67.8,Home Improvement,725,84000,335000
HEL-2022-0015,B09456,2022-03-30,2022-04-13,14,Approved,92000,88000,4.60,240,63.5,70.1,Debt Consolidation,745,108000,375000
HEL-2022-0016,B09489,2022-04-06,2022-04-20,14,Approved,140000,135000,4.30,360,70.8,77.5,Home Improvement,770,132000,500000
HEL-2022-0017,B09512,2022-04-13,2022-04-24,11,Approved,58000,56000,4.80,120,48.2,55.5,Education Expenses,720,79000,305000
HEL-2022-0018,B09534,2022-04-18,,17,Denied,118000,0,0,240,83.8,92.7,Debt Consolidation,610,66000,340000
HEL-2022-0019,B09567,2022-04-26,2022-05-10,15,Approved,72000,68000,4.75,180,59.5,66.2,Medical Expenses,730,86000,320000
HEL-2022-0020,B09598,2022-05-04,2022-05-18,14,Approved,98000,95000,4.50,240,62.5,69.3,Home Improvement,755,115000,390000
HEL-2022-0021,B09623,2022-05-12,2022-05-26,14,Approved,120000,115000,4.40,360,67.8,74.5,Debt Consolidation,765,126000,455000
HEL-2022-0022,B09645,2022-05-19,2022-05-30,11,Approved,38000,38000,5.10,120,40.8,47.1,Home Improvement,735,88000,275000
HEL-2022-0023,B09678,2022-05-27,,9,Pending,175000,0,0,360,85.5,93.8,Debt Consolidation,670,95000,445000
HEL-2022-0024,B09701,2022-06-02,2022-06-14,12,Approved,82000,78000,4.65,180,58.5,65.2,Education Expenses,750,90000,360000
HEL-2022-0025,B09725,2022-06-09,2022-06-22,13,Approved,112000,108000,4.45,240,66.5,73.2,Debt Consolidation,760,120000,435000
