application_id,borrower_id,application_date,approval_date,time_to_decision,application_status,amount_requested,approved_amount,interest_rate,term,ltv_ratio,combined_ltv,loan_purpose,credit_score,annual_income,property_value
sdv-id-NUcLvD,sdv-pii-15j4j,2022-11-26,2022-08-23,14,Approved,144167,94,0.04,360,79.7,85.9,Education Expenses,660,68163,326834
sdv-id-pvbTCl,sdv-pii-w1r7k,2023-05-06,2022-04-08,13,Approved,77250,29416,6.25,240,57.2,64.2,Education Expenses,771,92877,339088
sdv-id-WBAJRP,sdv-pii-sxixs,2024-10-10,,11,Approved,143562,11631,6.25,240,80.4,85.7,Debt Consolidation,789,107863,479946
sdv-id-YnxjoF,sdv-pii-jhn34,2023-02-12,2023-03-26,12,Approved,60349,3574,6.24,240,54.5,62.3,Medical Expenses,669,62867,284496
sdv-id-cNRhPg,sdv-pii-usjz9,2024-11-12,2024-08-04,13,Approved,53993,17579,6.25,360,44.3,50.8,Home Improvement,744,124196,381753
sdv-id-hnBwSD,sdv-pii-j52yv,2024-07-29,2024-05-13,11,Approved,71021,57124,6.25,180,52.8,56.8,Home Improvement,771,100209,343259
sdv-id-oHBbMV,sdv-pii-4lbbo,2023-03-28,2023-01-17,13,Approved,71565,52971,6.25,180,46.6,51.7,Medical Expenses,793,84277,320930
sdv-id-KBsWjf,sdv-pii-gbvzr,2024-09-06,2024-08-17,13,Approved,58782,26963,6.25,180,46.0,52.8,Home Improvement,790,74700,299971
sdv-id-siJeGo,sdv-pii-02e9j,2023-02-01,2023-05-16,19,Pending,132650,72,0.0,360,71.9,83.0,Home Improvement,622,71155,426292
sdv-id-GYVONY,sdv-pii-fch5k,2023-09-17,,10,Pending,132360,2976,6.06,360,69.9,76.1,Home Improvement,791,121619,411924
sdv-id-ZKyrKF,sdv-pii-m1uf9,2023-11-09,2023-10-08,16,Approved,194182,3667,3.65,120,90.2,97.6,Home Improvement,776,113557,528066
sdv-id-HfjEBG,sdv-pii-ql5ih,2024-01-19,2023-04-24,15,Approved,48588,19001,6.25,180,44.7,51.0,Home Improvement,653,71440,275235
sdv-id-yeoyRc,sdv-pii-aqoho,2022-10-19,,21,Denied,97782,4085,6.25,180,65.5,70.9,Medical Expenses,695,82852,351466
sdv-id-PuaOmE,sdv-pii-q7rkp,2023-09-05,2024-06-12,14,Approved,138403,73,0.0,240,83.8,91.5,Debt Consolidation,646,70549,417984
sdv-id-uBIYSA,sdv-pii-hzk2c,2024-10-27,2024-12-10,13,Approved,120651,48008,6.25,360,70.4,76.8,Medical Expenses,775,121649,479584
